Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,2723615451.30098,2434747055.94018,2001444543.91885,2702982017.63803,2909316435.2874,3136284306.85469,3039859187.45164,3370870376.29682,3852147026.77302,4257253264.08834,4863526896.57407,5077183093.88968,6766743956.88889,8707858912.12481,13209871625.9044,15557902754.033,17728240932.3158,20972113684.9558,26364491313.4471,33243706859.6596,42345829079.2062,44348590460.9288,45207167470.3497,48801369800.3675,53698548293.0745,57937868670.1937,63692007897.3834,66745818375.493,59089396860.4342,55634721572.7343,62048507531.3357,45715676428.2766,48003133346.9957,49945584452.6506,42543176828.9237,41764291671.7711,46941554225.3581,48177612042.1507,48187781984.4881,48640671734.9711,54790398570.3282,54744697926.068,56760355865.0082,67863850333.9526,85332581188.6107,103198212442.69,117027280155.386,134977082623.78,171000699876.747,137211003661.699,161207307027.185,200013098817.25,209059080929.499,209755003250.664,213809979836.314,165979224866.131,160034212126.018,170096988531.906,174910684781.571,171760275466.61,145743542982.628,163472387986.768,194998449769.085
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,,,,,,4948667540.41066,5278005611.91453,5605484298.98275,5932242990.65421,6524455205.81114,8042200452.1477,8609283346.08518,9299638055.84281,10098534613.4411,9228963224.60004,11632178868.9171,13315988083.4161,14400806875.9867,14811704063.0685,18020571428.5714,21669908176.3889,22136081081.0811,27655172413.7931,30966239813.7369,33971188991.6147,39053502251.0732,41253507951.3564,40455616653.5742,34980124929.0176,39756299049.9793,42978914311.3504,37387836490.5284,41855986519.4235,46578631452.581,51897983392.6453,60159245060.4541,67629716981.1321,78436578171.0914,84828807556.0803,90710704806.8416,99838543960.0763,96684636118.5984,85146067415.7303,80288461538.4615,78782467532.4675,89600665557.4043,107426086956.522,130437828371.278,162818181818.182,189147005444.646,218983666061.706,235989672977.625,279116666666.667,288434108527.132,305595408895.265,329366576819.407,332441717791.411,248362771739.13,262588632526.73,318678815489.749,383817841547.099,424671765455.704,476747720364.742
Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477101651.648376,467872714.755603,531688311.688312,578015625,693535954.190067,686490090.140141,745523074.701951,688918508.950846,706370815.584416,752371683.221534,729321671.428501,870248293.699204,1109054005.43971,1098424709.46293,1211161879.6748,1317974491.05691,1380188800,1856695551.21951,1589515447.15447,2065001626.01626,,,,,,,,,,,
Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,7324903188.4058,7707678019.32367,8567890821.25604,8096302367.14976,9480840483.09179,9848600869.56522,10527338647.343,10908935748.7923,11476584879.2271,12175166763.285,13463868357.4879,10492993077.6093,8830712713.90781,6927950564.55657,7663984567.90123,8547939730.62374,8589233860.17722,7818205592.92428,7700833482.00615,8242349617.8638,8231326016.47494,7850809498.16803,8623691300.04079,10131187261.4421,12401139453.9738,15280861834.6024,19707616772.7996,27066912635.2228,32437389116.038,29933790334.3418,31952763089.33,43310721414.0829,47648276605.0123,55612228233.5179,64589328550.5953,74296745207.8721,81770886825.6048,84269196625.8784,95912607722.3032,107657734392.446,111261882958.426,126783471597.671
Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,141468977.799846,167637907.122782,182796536.266025,154480244.055222,215679855.342091,226474285.779063,245849781.273234,271543680.048895,294468564.245272,318124701.478771,323802475.512425,381687072.622379,430508358.514204,722780701.295854,1544216001.66059,2157592940.04234,3009409974.26856,2809349069.22118,2389479271.66616,3030251120.09759,4279637942.25144,3862269120.53497,3618007841.13503,3391275731.53751,3561451560.50783,3339914757.22872,3403638189.20049,3281797043.04996,3834503376.02992,4186411463.85975,5952293764.84777,5402919784.57004,5592390827.39854,4378645081.01769,4190819344.22255,4958845648.04778,5694040002.89863,5326817114.53586,4483417309.83011,4662992036.2073,5080483628.53013,5023265413.2623,5335451099.88223,6511903365.47554,7770219008.21293,9582783990.85345,10327598306.4575,12455409587.3371,15571348344.3379,12113699068.2517,14372593020.2885,18210307743.5816,17170464016.0593,17595744798.3398,18203966895.8433,14383107762.6952,14023890265.3665,14929487485.1623,16867326401.9626,16874405465.391,15314577154.8076,20217946922.4528,21071739224.8918
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,1223943661.97183,1309859154.92958,1390140845.07042,1549295774.64789,1740845070.42254,2064788732.39437,2138028169.01408,1748837209.30233,1666666666.66667,1961764705.88235,2214705882.35294,2427184466.01942,2116541353.38346,3018103448.27586,2894409937.8882,2810106382.97872,2765254237.28814,3189428571.42857,3662478184.99127,4020227920.22792,4445228215.76763,4222441860.46512,4035994397.7591,4057275132.27513,4412279843.44423,4504306722.68908,5735677433.82683,5074829931.97279,5197765031.64557,5251858439.874,5889106573.46088,6603185267.79643,6416103925.83267,5968922939.37198,5446383726.77047,6464382807.67884,6932991739.37767,6891443192.24985,7482069162.42008,7718109982.26093,4982850662.20851,5314872854.4405,6166197847.85031,7632723555.66221,8881417906.71432,10744568381.4456,20885037596.6963,24827339138.4906,28679383241.0729,26048720005.5233,32197655566.5347,39336668080.559,41271701060.954,62824629066.0408,54783320576.8882,49406009811.9819,56164928691.0359,60405920071.5652,67298913752.0241,68337974418.3315,70043095503.6675,79524421861.2743,73766052451.5256
Guinea,GIN,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,1995186720.74733,2041538039.57727,2384295816.52755,2432029298.17643,2666750819.15337,3015058206.91718,3284620423.06095,3279096492.96264,3383092768.69818,3693710532.91191,3868968367.42785,3783700461.64359,3588375621.82568,3461282460.79752,2995361111.48224,2829435908.64657,2950198723.60858,3446441784.82252,3635458213.65962,2937071740.68756,4220019242.72882,6281917649.94033,6964179187.85579,6716904516.97953,6853467832.49407,6785137215.55736,7638045226.04416,8376613880.84932,8778473643.31852,8794202394.29076,8595955600.36601,10324668271.1032,11857030367.2441,13442861496.4128,14177835841.3923,16091817842.1318,20999229260.4955
"Gambia, The",GMB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,44212081.3502297,46695006.9579374,41160065.8561054,45168072.2689156,52296083.6737339,55728663.222684,59160569.4804413,75187749.0961317,95796021.6888272,115179719.077633,112190829.470457,138093099.09774,171833086.019624,207112627.726094,241083090.303623,218767743.459101,216050552.301584,213448584.936945,177340880.086204,225726358.890914,185646986.824927,220626484.224811,266672211.934161,284120329.401023,317083695.477797,690311080.515018,714254256.122189,755040974.087322,746493951.900959,785999864.840299,848239446.21576,803633342.473706,840285264.631545,814724032.065735,782913871.80966,687410645.063943,578235309.327198,487038685.045496,961900651.423441,1027701067.55688,1054112487.74083,1279703047.0221,1561766955.73024,1450142508.57808,1543294926.87301,1409693596.93594,1415004738.26621,1375609453.43746,1229461721.40861,1378176608.93204,1484578885.97132,1504909462.69521,1670671327.81651,1813609692.49994,1812170891.19069,2038414968.60683,2187194563.48605
Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,78733594.8411852,78540057.1372471,87702828.5651641,89374237.2881356,98775328.9473684,108985740.155434,112386489.005677,114971207.205384,122666858.789625,118537875.133044,110653830.722704,154731969.69697,165523634.503718,163577538.326314,138478900.628609,143856253.127248,130225018.751151,173836362.010677,164458120.318029,213143016.446378,243961995.512687,257150374.069711,226313443.749086,236880821.656388,235620043.500927,253966922.278198,270419779.418107,268551010.941186,206457553.397101,224446663.800548,371095522.049969,392621389.507734,417806651.117672,477458577.163666,532062894.803123,587029096.028696,592365659.818537,696910784.011006,868154627.875233,830126428.788601,849878489.118426,1099818591.95479,989271155.135142,1046087367.45447,1054915581.35773,1048229633.00189,1179004911.26676,1350177012.24273,1504630233.68158,1439638410.99683,1431758231.68522,1638517606.89496,1633559092.08861
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,,,9122751.45318345,10840095.1283649,12712471.3960211,64748333.3333333,69110000,72317446.9327193,67514285.7142857,67225714.2857143,66331428.5714286,64946954.756798,65429198.238708,81203226.9138345,94159862.7073691,104295643.388437,103653049.93797,103987520.075827,,,50642880.7737503,36731422.8456914,44294647.733479,44442456.94764,50320914.4065688,62118569.9654481,76407395.8727542,93345859.52973,100534656.881732,88265974.861049,112119411.489965,110906028.536862,134707183.84662,136047906.245408,100807002.540195,141853360.867855,232463022.802961,442337870.69437,370687634.425712,621117885.668503,1045998496.43872,1461139022.02954,1806742742.27311,2484745935.09329,4410764338.66733,8217369092.65224,10086528698.8604,13071718758.7373,19749893536.3204,15027795173.2187,16314443436.2903,21357343668.9447,22388344143.9131,21948834283.7856,21765453081.9826,13185496881.4055,11240808846.6928,12200913887.6419,13097012124.2267,11364133546.2488,9893816016.147,12104994084.4108,12029633746.519
